Rank,Municipality,State,2000 Population,1990 Population,Change in Population
329,Palm Bay city,Florida,79413,62632,26.80%
330,Lakewood city CA,California,79345,73557,7.90%
331,Roswell city,Georgia,79334,47923,65.50%
332,Cranston city,Rhode Island,79269,76060,4.20%
333,Clifton city,New Jersey,78672,71742,9.70%
334,Lakeland city,Florida,78452,70576,11.20%
335,Southfield city,Michigan,78296,75728,3.40%
336,Buena Park city,California,78282,68784,13.80%
337,Carlsbad city,California,78247,63126,24.00%
338,Pompano Beach city,Florida,78191,72411,8.00%
339,Tuscaloosa city,Alabama,77906,77759,0.20%
340,Lewisville city,Texas,77737,46521,67.10%
341,Yuma city,Arizona,77515,54923,41.10%
342,Somerville city,Massachusetts,77478,76210,1.70%
343,Santa Maria city,California,77423,61284,26.30%
344,Ogden city,Utah,77226,63909,20.80%
345,Kalamazoo city,Michigan,77145,80277,-3.90%
346,Albany GA city,Georgia,76939,78122,-1.50%
347,Greeley city,Colorado,76930,60536,27.10%
348,Scranton city,Pennsylvania,76415,81805,-6.60%
349,Beaverton city,Oregon,76129,53310,42.80%
350,Arlington Heights village,Illinois,76031,75460,0.80%
351,Wilmington city NC,North Carolina,75838,55530,36.60%
352,Baldwin Park city,California,75837,69330,9.40%
353,Davie town,Florida,75720,47217,60.40%
354,Redwood City city,California,75402,66072,14.10%
355,Schaumburg village,Illinois,75386,68586,9.90%
356,Broken Arrow city,Oklahoma,74859,58043,29.00%
357,Danbury city,Connecticut,74848,65585,14.10%
358,Boca Raton city,Florida,74764,61492,21.60%
359,Las Cruces city,New Mexico,74267,62126,19.50%
360,Evanston city,Illinois,74239,73233,1.40%
361,St. Joseph city,Missouri,73990,71852,3.00%
362,Livermore city,California,73345,56741,29.30%
363,Longview city,Texas,73344,70311,4.30%
364,Pawtucket city,Rhode Island,72958,72644,0.40%
365,Bellflower city,California,72878,61815,17.90%
366,Miramar city,Florida,72739,40663,78.90%
367,Wilmington city DE,Delaware,72664,71529,1.60%
368,Napa city,California,72585,61842,17.40%
369,Alameda city,California,72259,76459,-5.50%
370,New Rochelle city,New York,72182,67265,7.30%
371,Lawrence city MA,Massachusetts,72043,70207,2.60%
372,Yakima city,Washington,71845,54827,31.00%
