Rank,Author,Total New Downloads
344,"Lam, Trevin W.",3775
345,"Carrier, Michael A.",3774
346,"Medeiros, Marcelo",3773
347,"Zhang, Lu",3763
348,"Kosowski, Robert",3757
349,"Schmalz, Martin C.",3756
350,"Stipanowich, Thomas",3753
351,"Wansink, Brian",3748
352,"Guay, Wayne R.",3747
353,"Davies, Paul L.",3742
354,"Roll, Richard W.",3742
355,"Wysocki, Peter D.",3740
356,"Karpoff, Jonathan M.",3734
357,"Farre-Mensa, Joan",3733
358,"Schauer, Frederick",3722
359,"Harford, Jarrad",3720
360,"Barber, Brad M.",3718
361,"Hou, Kewei",3716
362,"Mittal, Vikas",3711
363,"Katz, Daniel M.",3702
364,"Brigo, Damiano",3701
365,"Eckbo, B. Espen",3694
366,"Kaptein, M.",3688
367,"Lin, Chen",3684
368,"Hallerbach, Winfried G.",3679
369,"Lustig, Hanno N.",3675
370,"Morse, Adair",3674
371,"Lopez, Glenn",3673
372,"Petersen, Rebecca",3672
373,"Calabresi, Steven G.",3663
374,"Northcutt, Curtis G.",3658
375,"Hansen, John D.",3658
376,"Gabaix, Xavier",3636
377,"McDonald, Bill",3633
378,"Healy, Paul M.",3631
379,"Brogaard, Jonathan",3624
380,"Ghysels, Eric",3620
381,"Wood, David A.",3616
382,"Bloomfield, Robert J.",3608
383,"Sokol, D. D.",3605
384,"Millard, Christopher",3604
385,"Cooper, Michael J.",3602
386,"Kaserer, Christoph",3585
387,"Chesterman, Simon",3584
388,"Odean, Terrance",3582
389,"Arnold, Tom M.",3581
390,"Paust, Jordan J.",3573
391,"Andersen, Leif B.",3570
392,"Kochenov, Dimitry",3569
393,"Hainmueller, Jens",3567
394,"Trautman, Lawrence J.",3561
395,"Palazzo, Guido",3556
396,"Castro, Fabio A.",3556
397,"Hull, John C.",3554
398,"Bushman, Robert M.",3540
399,"Allen, Franklin",3509
400,"Hasen, Richard L.",3506
401,"Panigrahi, Ashok K.",3497
402,"Tuna, A. I.",3488
403,"Berger, Jonah A.",3479
404,"Jegadeesh, Narasimhan",3478
405,"Pack, Ryan",3477
406,"Delgado, Richard",3474
407,"Ivashina, Victoria",3462
408,"Zittrain, Jonathan",3461
409,"Rubtcova, Mariia V.",3458
410,"Peerenboom, Randall",3456
411,"Cohen, Jeffrey R.",3454
412,"Symeonides, Symeon",3446
413,"Versteeg, Mila",3436
414,"Staats, Bradley R.",3434
415,"Prebble, John",3417
416,"Starr, Sonja B.",3414
417,"Ferrell, Allen",3411
418,"Marwick, Alice E.",3396
419,"Massa, Massimo",3395
420,"Dichev, Ilia D.",3376
421,"Lobo, Gerald J.",3367
422,"Ahern, Kenneth R.",3363
423,"Wymeersch, Eddy O.",3360
424,"Hope, Ole-Kristian",3359
